,output,task
77,when does the next rocket leaves from garching forschungszentrum. ,when does the next rocket leaves from garching forschungszentrum?
78,hey bot when does the next bus starts at garching. ,"hey bot, when does the next bus starts at garching?"
79,from garching to students instead. ,from garching to studentenstadt
80,when does the next train leaves from odeonsplatz. ,when does the next train leaves from odeonsplatz?
81,when is the next train from garching. ,when is the next train from garching
82,how do i get from marienplatz zu garching. ,how do i get from marienplatz zu garching
83,when does the bus to start. ,when does the bus to röblingweg starts?
84,when the next training. ,when the next train in garching is leaving?
85,when does the next train come at garching forschungszentrum. ,when does the next train come at garching forschungszentrum
86,when can i get a bus at marion hill flights. ,when can i get a bus at mariahilfplatz?
87,how can i get from curt tulsa to garching. ,how can i get from kurt-eisner-straße to garching?
88,when is the next train to garching. ,when is the next train to garching
89,can you tell me the cheapest way from garching forschungszentrum to quiddestraße. ,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
90,what's the shortest way between hauptbahnhof and odeonsplatz. ,what's the shortest way between hauptbahnhof and odeonsplatz?
91,when will the next boat depart from garching forschungszentrum. ,when will the next u-bahn depart from garching forschungszentrum?
92,when is the next train. ,when is the next train
93,when is the next bus in garching forschungszentrum. ,when is the next bus in garching forschungszentrum
94,next bus from quince dias a. ,next bus from quiddestraße?
95,how can i get from garching to marienplatz. ,how can i get from garching to marienplatz
96,when does the next train leaves from quiddestraße. ,when does the next train leaves from quiddestraße?
97,how can i get to send the link. ,how can i get to sendlinger tor?
98,when is the next train leaving in garching. ,when is the next train leaving in garching
99,how to get from untere strauss twenty one. ,how to get from untere strassaecker 21 to frötmaning
0,how can I get from. ,how can i get from garching forschungszentrum to kurt-eisner-straße?
2,show me the next bus from garching. ,show me the next bus from garching!
4,when is the next. ,when is the next u6?
6,what's the shortest connection between. ,what's the shortest connection between quiddestraße and odeonsplatz?
7,is there a bus from. ,is there a bus from garching to moosach at around 5?
8,connection from Harrah's to call Trace. ,i need a connection from harras to karl-preis-platz at 8 am.
10,when does the next train leave from garching forschungszentrum. ,when does the next train leave from garching forschungszentrum
11,how can I get from. ,how can i get from garching to milbertshofen?
12,can I take a bus from. ,can i take a bus from quiddestraße to hauptbahnhof?
13,could you give me the fastest connection between. ,could you give me the fastest connection between brudermühlstraße and alte heide?
14,when does the next bus leave from house Pinetop. ,when does the next bus leaves from hauptbahnhof?
16,how can I get from Newport as fast as possible. ,how can i get from neuperlach zentrum to karlsplatz as fast as possible?
17,connection. ,can you find a connection from olympiazentrum to lehel at 2 pm?
19,how to get from. ,how to get from garching to perlach?
20,show me the next bus from my clay bad. ,show me the next bus from michaelibad.
21,how can I get from. ,how can i get from garching to münchner freiheit as fast as possible?
22,when is the next. ,when does the next subway departes from odeonsplatz?
23,when is the. ,when is the bus from quiddestraße?
24,when is the next train from darting. ,when is the next train from garching
26,when does the next train leave. ,when does the next train leaves?
29,when is the train leaving. ,when is the train leaving in garching?
30,can you search. ,"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?"
31,how can I get from guards. ,"how can i get from garching, forschungszentrum to odeonsplatz?"
32,when does the next bus leave the Tantrum. ,when does the next bus leaves at garching forschungszentrum?
33,how do I get from Olympia. ,how do i get from olympia einkaufszentrum to hauptbahnhof?
34,is there a train from Newport at 3 p.m.. ,is there a train from neuperlach zentrum to garching at 3 pm?
35,how can I get from Centrum. ,how can i get from mossach to garching forschungszentrum?
36,when is the next subway leaving from. ,when is the next subway leaving from garching?
37,next connection. ,what is the next connection from garching forschungszentrum to odeonsplatz?
38,when does the next bus leave at romance watch. ,when does the next bus leaves at romanplatz?
39,when does the next bus leave. ,when does the next bus leave in garching?
40,when does the next bus leave. ,when does the next bus leaves at garching?
41,how can I get from Garcia. ,how can i get from garching to sendlinger tor?
42,when is the next train in North Freedom. ,when is the next train in nordfriedhof
43,is there a tram from. ,is there a tram from karlsplatz to lehel?
44,when is the next bus leaving from Garcia. ,when is the next bus leaving from garching?
45,when's the next train leaving. ,when the next train in garching forschungszentrum is leaving?
46,when is Centrum. ,when is adrians next subway leaving at garching forschungszentrum?
47,what's the cheapest way from new perlick funchal hell. ,what's the cheapest way from neuperlach süd to lehel?
48,directions. ,connection from hauptbahnhof to odeonsplatz?
49,how do I get to liquor. ,how do i get to untere straussäcker?
50,when is the next rain in munchener-freiheit. ,when is the next train in münchner freiheit?
51,when is the next train. ,when is the next train in nordfriedhof?
52,when's the next train. ,"when the next train in garching,forschungszentrum is leaving?"
53,when is the next U6 leaving from Garcia. ,when is the next u6 leaving from garching?
54,connection from. ,can you give me a connection from garching to odeonsplatz?
55,when is the next train from. ,"when is the next train from untere straßaecker 21, garching to kieferngarten"
56,when does the next train depart from. ,when does the next train departs from quiddestraße?
57,how can I get from Garden to go. ,how can i get from garchingto garching?
58,how can I get from. ,how can i get from quiddestraße to boltzmannstraße?
59,how can I get from. ,how can i get from garching to hauptbahnhof?
60,when is the next tram starts from House. ,when does the next tram starts from hauptbahnhof?
62,Direction from. ,connection from untere straßäcker 21 to kieferngarten
63,what is the cheapest connection between vonhaus. ,what is the cheapest connection between quiddestraße and hauptbahnhof?
64,how can I get to Newport from garching forschungszentrum. ,how can i get to neuperlach süd from garching forschungszentrum?
65,how can I get from Olympia. ,how can i get from olympiazentrum to hauptbahnhof?
66,how can I get from. ,how can i get from garching forschungszentrum to odeonsplatz?
67,how can I get from the garching forschungszentrum. ,how can i get from moosach to garching forschungszentrum?
68,when is the train leaving in. ,when is the train leaving in garching
69,is there a bus from odeonsplatz. ,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
70,when is the next train from Newark free haunted are Centrum. ,when is the next train from nordfriedhof to garching forschungszentrum
71,when's the next train. ,when comes the next train
72,the next bus from Health Pinetop. ,when does the next s-bahn leaves from hauptbahnhof?
74,how can I get from. ,how can i get from garching to odeonsplatz?
75,when is the next train starts at sendlinger tor. ,when does the next train starts at sendlinger tor?
76,when is the next train from Ontario. ,when is the next train from untere straßaecker 21 to kieferngarten
77,when does the next tantrum. ,when does the next rocket leaves from garching forschungszentrum?
78,when does the next. ,"hey bot, when does the next bus starts at garching?"
80,when does the next train leave. ,when does the next train leaves from odeonsplatz?
81,when is the next train from darting. ,when is the next train from garching
82,how do I get to. ,how do i get from marienplatz zu garching
83,when does the. ,when does the bus to röblingweg starts?
84,when's the next train. ,when the next train in garching is leaving?
85,when does the next train come from. ,when does the next train come at garching forschungszentrum
86,when can I get a bus at Marian Hill.. ,when can i get a bus at mariahilfplatz?
87,how can I get from. ,how can i get from kurt-eisner-straße to garching?
88,when is the next train to. ,when is the next train to garching
89,can you tell me the cheapest way from garching forschungszentrum to put Strasse. ,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
90,what's the shortest way between house.. ,what's the shortest way between hauptbahnhof and odeonsplatz?
92,when is the next train. ,when is the next train
93,when is the next bus in garching forschungszentrum. ,when is the next bus in garching forschungszentrum
95,how can I get from. ,how can i get from garching to marienplatz
96,when does the next train leave from. ,when does the next train leaves from quiddestraße?
97,how can I get to send. ,how can i get to sendlinger tor?
98,when is the next train leaving in garching. ,when is the next train leaving in garching
0,how can i get from guards in force on censure him to kurt eisner strada. ,how can i get from garching forschungszentrum to kurt-eisner-straße?
1,i want to travel from guard change audience blacks. ,i want to travel from garching to odeonsplatz?
2,show me the next bus from guard jane. ,show me the next bus from garching!
3,can you find a blast from twitch draws attila hal. ,can you find a bus from quiddestraße to lehel?
4,when was the next two years that. ,when is the next u6?
5,how can i get from guarding to dodging. ,how can i get from garching to garching?
6,what's the shower is a connection between quit straws and against blacks. ,what's the shortest connection between quiddestraße and odeonsplatz?
7,is there a bus from guards into the socket around five. ,is there a bus from garching to moosach at around 5?
8,i need a connection from here as to carl priest planted am monsieur. ,i need a connection from harras to karl-preis-platz at 8 am.
9,i need to be in charging at nine. ,i need to be in garching at 9
10,when does the next train leave from cartoon for south central. ,when does the next train leave from garching forschungszentrum
11,how can i get from darting to melbourne children. ,how can i get from garching to milbertshofen?
12,can i take a bus from twitch drafted to help on health. ,can i take a bus from quiddestraße to hauptbahnhof?
13,could you give me the fastest connection between furthermore strossen al-qaeda. ,could you give me the fastest connection between brudermühlstraße and alte heide?
14,when the next bus leaves from how the barn house. ,when does the next bus leaves from hauptbahnhof?
15,how to get from bonney applied to fryman. ,how to get from bonnerplatz to freimann
16,how can i get from new pearl lakes interim to carl's plants as fast as possible. ,how can i get from neuperlach zentrum to karlsplatz as fast as possible?
17,can you find a connection from olympiad center until the hell at two pm. ,can you find a connection from olympiazentrum to lehel at 2 pm?
18,how can i get to quench trust them. ,how can i get to quiddestraße?
19,i get from guarding tupper lake. ,how to get from garching to perlach?
20,show me the next bus from likely that. ,show me the next bus from michaelibad.
21,and i get from darting to minds near franklin as fast as possible. ,how can i get from garching to münchner freiheit as fast as possible?
22,when the next step lady parts from odeon splat. ,when does the next subway departes from odeonsplatz?
23,when is the bands from klensch draws them. ,when is the bus from quiddestraße?
24,when in the next train from darting. ,when is the next train from garching
25,how can i get to melbourne show faint from guard jing. ,how can i get to milbertshofen from garching?
26,when does the next train leaves. ,when does the next train leaves?
27,how they get from my tears strauss anchor twenty want to fry many. ,how to get from untere strassäcker 21 to frötmaning
28,how can i get the gold slingshot the front which draws them. ,how can i get to boltzmannstraße from quiddestraße?
29,when was the train leaving in ka ting. ,when is the train leaving in garching?
30,in the duty of how the bonham that one pm teeny sturgeon connection from guarding four cents an interim. ,"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?"
31,how can i get from darting force john center in the audience plan. ,"how can i get from garching, forschungszentrum to odeonsplatz?"
32,when the next bus leaves the guards in force on center 'em. ,when does the next bus leaves at garching forschungszentrum?
33,can i get from olympia ion counts entered the help on health. ,how do i get from olympia einkaufszentrum to hauptbahnhof?
34,is there a train from new pearl lakes and from departing at three pm. ,is there a train from neuperlach zentrum to garching at 3 pm?
35,how can i get from la say to guards in force on center 'em. ,how can i get from mossach to garching forschungszentrum?
36,when is the next subway leading from darting. ,when is the next subway leaving from garching?
37,what is the next connection from guards in force on center and audience plan. ,what is the next connection from garching forschungszentrum to odeonsplatz?
38,when the next bus leaves at rome in plots. ,when does the next bus leaves at romanplatz?
39,when does the next bus leaving darting. ,when does the next bus leave in garching?
40,when the next bus leaves a guard jane. ,when does the next bus leaves at garching?
41,how can i get from guarding dismantling are taller. ,how can i get from garching to sendlinger tor?
42,when in the next train ignored frieda. ,when is the next train in nordfriedhof
43,is there a trend from carl's plod through hell. ,is there a tram from karlsplatz to lehel?
44,when is the next bus leaving from guard sing. ,when is the next bus leaving from garching?
45,when the next training guards in force on center misleading. ,when the next train in garching forschungszentrum is leaving?
46,when i think aliens next couple in leading a guarding for sure center on. ,when is adrians next subway leaving at garching forschungszentrum?
47,what's that she'd this way from the upper lakeside to let hal. ,what's the cheapest way from neuperlach süd to lehel?
48,connection somehow been hostile audience blacks. ,connection from hauptbahnhof to odeonsplatz?
49,can i get up and here's strauss occur. ,how do i get to untere straussäcker?
50,when is the next train in mind sniff ride high. ,when is the next train in münchner freiheit?
51,when is the next train in your country house. ,when is the next train in nordfriedhof?
52,when the next train in ka ching force on center misleading. ,"when the next train in garching,forschungszentrum is leaving?"
53,when was the next case six leaving from guard sing. ,when is the next u6 leaving from garching?
54,he gave me a connection from guard change audience blacks. ,can you give me a connection from garching to odeonsplatz?
55,when is the next train from my tears stress acker twenty wind guarding to keep her garden. ,"when is the next train from untere straßaecker 21, garching to kieferngarten"
56,when the next train departs from clenched johnson. ,when does the next train departs from quiddestraße?
57,how can i get from guarding to guard jane. ,how can i get from garchingto garching?
58,how can i get through clenched jaws it to bolting stratton. ,how can i get from quiddestraße to boltzmannstraße?
59,that can i get from darting to help the bond on. ,how can i get from garching to hauptbahnhof?
60,when the next train starts from helped by a cough. ,when does the next tram starts from hauptbahnhof?
61,can you find the shortest way from misspelled to melbourne show thing. ,can you find the shortest way from moosfeld to milbertshofen?
62,connection for my tears strong thicker twenty windy keeper in garden. ,connection from untere straßäcker 21 to kieferngarten
63,what is the cheapest connection between quit straws and how the barn cough. ,what is the cheapest connection between quiddestraße and hauptbahnhof?
64,how can i get to new per lakeside from guarding force on stench from. ,how can i get to neuperlach süd from garching forschungszentrum?
65,how can i get from olympiad sent you to help on health. ,how can i get from olympiazentrum to hauptbahnhof?
66,how can i get from guards in force on center in the audience plants. ,how can i get from garching forschungszentrum to odeonsplatz?
67,how can i get from those that the darting four sons interim. ,how can i get from moosach to garching forschungszentrum?
68,when is the train leaving and arson. ,when is the train leaving in garching
69,is there a buzz promoting in slats to help the bonham victory pm. ,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
70,when in the next train from nord freed on the guards in for stung santorum. ,when is the next train from nordfriedhof to garching forschungszentrum
71,when comes the next train. ,when comes the next train
72,when does the next as on aids from how the barn house. ,when does the next s-bahn leaves from hauptbahnhof?
73,from darting tupper lake. ,from garching to perlach
74,how can i get from guards in the audience plants. ,how can i get from garching to odeonsplatz?
75,when is the next train starts its handling her to learn. ,when does the next train starts at sendlinger tor?
76,when in the next train from my tears strauss zachary twenty wanting to keep her garden. ,when is the next train from untere straßaecker 21 to kieferngarten
77,when does the next rock it feeds from guarding four sons tantrum. ,when does the next rocket leaves from garching forschungszentrum?
78,they bought when does the next bus starts at the arching. ,"hey bot, when does the next bus starts at garching?"
79,from darting to insist that. ,from garching to studentenstadt
80,when does the next train leaves promoting splat. ,when does the next train leaves from odeonsplatz?
81,when in the next train from darting. ,when is the next train from garching
82,can i get for maria clients the new guard jing. ,how do i get from marienplatz zu garching
83,when just about to row going like start. ,when does the bus to röblingweg starts?
84,when the next train encouraging is leaving. ,when the next train in garching is leaving?
85,when does the next train comic arjun force on center on. ,when does the next train come at garching forschungszentrum
86,when can i get i said mary health lots. ,when can i get a bus at mariahilfplatz?
87,how can i get from kurt eisner straws it to the arching. ,how can i get from kurt-eisner-straße to garching?
88,when in the next train to guard jing. ,when is the next train to garching
89,can you tell me the cheapest way from guards in force on center and acreage draws them. ,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
90,with the shortest way between how the bond hoffa node in splat. ,what's the shortest way between hauptbahnhof and odeonsplatz?
91,when will the next to you bind depart from guarding four sons tantrum. ,when will the next u-bahn depart from garching forschungszentrum?
92,when is the next train. ,when is the next train
93,when in the next bus encouraging for some center on. ,when is the next bus in garching forschungszentrum
94,next bus trunk which draws them. ,next bus from quiddestraße?
95,how can i get from guards into murray and plots. ,how can i get from garching to marienplatz
96,when does the next train leaves from quench trust them. ,when does the next train leaves from quiddestraße?
97,how can i get is handling a chore. ,how can i get to sendlinger tor?
98,when in the next train leaving in gardening. ,when is the next train leaving in garching
99,how they get from my tears strauss acker twenty want to fry meaning. ,how to get from untere strassaecker 21 to frötmaning
